casino_name,logo_path,rating,website_url,languages,licenses,affiliate_program,casino_type,review_path
BitStarz Casino,logosask/BitStarzCasino.png,10,https://www.bitstarz.com,https://www.bitstarz.com,Curacao,BitStarz Casino Affiliates,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/BitStarz Casino.txt
Bitkingz Casino,logosask/BitkingzCasino.png,9.4,https://www.bitkingz.com/,https://www.bitkingz.com/,Curacao,Wolfpack Partners,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/Bitkingz Casino.txt
Tsars Casino,logosask/TsarsCasino.png,9.4,https://www.tsars.com/,https://www.tsars.com/,Curacao,Spinwise Partners,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/Tsars Casino.txt
CrocoSlots Casino,logosask/CrocoSlotsCasino.png,9.3,https://www.crocoslots.com/,https://www.crocoslots.com/,Curacao,Wolfpack Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/CrocoSlots Casino.txt
Impressario Casino,logosask/ImpressarioCasino.png,9.3,https://www.impressariocasino.com/,https://www.impressariocasino.com/,Kahnawake Gaming Commission,Impressario Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Impressario Casino.txt
Run4Win Casino,logosask/Run4WinCasino.png,9.2,https://www.run4win.com,https://www.run4win.com,Curacao,Run4Win Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Run4Win Casino.txt
Oshi Casino,logosask/OshiCasino.png,9.2,https://oshi.io,https://oshi.io,Curacao,Oshi Affiliates,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/Oshi Casino.txt
Winz.io Casino,logosask/WinzioCasino.png,9.2,https://winz.io/,https://winz.io/,Curacao,Moonwalkers Affiliates,"Instant Play, Mobile, Live Casino, Crypto Casino, Sports",tekst/Winzio Casino.txt
Boho Casino,logosask/BohoCasino.png,9.2,https://www.bohocasino.com/,https://www.bohocasino.com/,Curacao,Boho Affiliates,"Sports, Mobile, Live Casino, Instant Play, Crypto Casino",tekst/Boho Casino.txt
Flappy Casino,logosask/FlappyCasino.png,9.2,https://flappycasino.com,https://flappycasino.com,Curacao,Winmaniacs Affiliates,"Crypto Casino, Instant Play, Live Casino, Mobile, Sports",tekst/Flappy Casino.txt
Casoo Casino,logosask/CasooCasino.png,9.2,https://www.casoo.com,https://www.casoo.com,Curacao,Spinwise Partners,"Mobile, Instant Play, Live Casino, Crypto Casino",tekst/Casoo Casino.txt
Gamblezen Casino,logosask/GamblezenCasino.png,9.2,https://gamblezen.com/,https://gamblezen.com/,Curacao,Gamblezen Affiliates,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Gamblezen Casino.txt
