casino_name,logo_path,rating,website_url,languages,licenses,affiliate_program,casino_type,we_like_x,dont_like_x,casino_bonus_x,review_path,we_like_y,dont_like_y,casino_bonus_y
BitStarz Casino,logosask/BitStarzCasino.png,10.0,https://www.bitstarz.com,https://www.bitstarz.com,Curacao,BitStarz Casino Affiliates,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/BitStarz Casino.txt,,,,No fees and instant payments for e-wallet and crypto players | Dedicated crypto casino game selection | Instant response on live chat and quick to resolve complaints | Slower transaction times for Visa card and bank transfer payments,Slower transaction times for Visa card and bank transfer payments,
Bitkingz Casino,logosask/BitkingzCasino.png,9.4,https://www.bitkingz.com/,https://www.bitkingz.com/,Curacao,Wolfpack Partners,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/Bitkingz Casino.txt,,,,Instant cashback | Daily bonuses | Fast withdrawals | Low withdrawal limits,Low withdrawal limits,Bitkingz Casino: 150% up to €150 + 150 Bonus Spins
Tsars Casino,logosask/TsarsCasino.png,9.4,https://www.tsars.com/,https://www.tsars.com/,Curacao,Spinwise Partners,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/Tsars Casino.txt,,,,Fast withdrawals | Excellent choice of payment methods | Excellent game choice | Certificate of Trust | Low withdrawal limits | Payment fees,Low withdrawal limits | Payment fees,"Tsars Casino: 100% up to €300 + 100 Free Spins, 1st Deposit Bonus"
CrocoSlots Casino,logosask/CrocoSlotsCasino.png,9.3,https://www.crocoslots.com/,https://www.crocoslots.com/,Curacao,Wolfpack Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/CrocoSlots Casino.txt,,,,Fast payments | No payment fees | Excellent choice of deposit methods | Fewer withdrawal methods than deposit methods,Fewer withdrawal methods than deposit methods,"CrocoSlots Casino: 100% up to €1000 + 100 Free Spins, 1st Deposit Bonus"
Impressario Casino,logosask/ImpressarioCasino.png,9.3,https://www.impressariocasino.com/,https://www.impressariocasino.com/,Kahnawake Gaming Commission,Impressario Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Impressario Casino.txt,,,,Excellent choice of payment methods | No payment fees | 24/7 live chat | Slow withdrawals,Slow withdrawals,"Impressario Casino: 100% up to €/$ 1000 + 100 Free Spins, Welcome Bonus"
Run4Win Casino,logosask/Run4WinCasino.png,9.2,https://www.run4win.com,https://www.run4win.com,Curacao,Run4Win Partners,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Run4Win Casino.txt,,,,Fast withdrawals | Home to more than 10k games | Excellent selection of payment methods | No transaction fees | Several country restrictions,Several country restrictions,"Run4Win Casino: 100% up to €/$300 + 100 Bonus Spins, 1st Deposit Bonus"
Oshi Casino,logosask/OshiCasino.png,9.2,https://oshi.io,https://oshi.io,Curacao,Oshi Affiliates,"Instant Play, Mobile, Live Casino, Crypto Casino",tekst/Oshi Casino.txt,,,,Home to more than 70+ gaming providers | Received the AskGamblers Certificate of Trust | Fast withdrawals | An extensive list of restricted games with bonus funds | Must wager bonuses in 7 days / casino spins in 1 day,An extensive list of restricted games with bonus funds | Must wager bonuses in 7 days / casino spins in 1 day,"Oshi Casino: 200% up to €200 + 100 Free Spins, 1st Deposit Welcome Bonus"
Winz.io Casino,logosask/WinzioCasino.png,9.2,https://winz.io/,https://winz.io/,Curacao,Moonwalkers Affiliates,"Instant Play, Mobile, Live Casino, Crypto Casino, Sports",tekst/Winzio Casino.txt,,,,,,
Boho Casino,logosask/BohoCasino.png,9.2,https://www.bohocasino.com/,https://www.bohocasino.com/,Curacao,Boho Affiliates,"Sports, Mobile, Live Casino, Instant Play, Crypto Casino",tekst/Boho Casino.txt,,,,Diverse offer of casino games | 24/7 live chat | AskGamblers Certificate of Trust | Several country restrictions,Several country restrictions,"Boho Casino: 100% up to €500 + 100 Free Spins, 1st Deposit Bonus"
Flappy Casino,logosask/FlappyCasino.png,9.2,https://flappycasino.com,https://flappycasino.com,Curacao,Winmaniacs Affiliates,"Crypto Casino, Instant Play, Live Casino, Mobile, Sports",tekst/Flappy Casino.txt,,,,24/7 live chat | Home to industry-leading brands | VIP Benefits | Narrow choice of responsible gambling tools,Narrow choice of responsible gambling tools,"Flappy Casino: 100% up to €500 + 50 Free Spins, 1st Deposit Bonus"
Casoo Casino,logosask/CasooCasino.png,9.2,https://www.casoo.com,https://www.casoo.com,Curacao,Spinwise Partners,"Mobile, Instant Play, Live Casino, Crypto Casino",tekst/Casoo Casino.txt,,,,Top tier software providers | Mobile friendly design | Live chat open 24/7 | Limited selection of table games,Limited selection of table games,"Casoo Casino: 100% up to €300 + 100 Bonus Spins, 1st Deposit Bonus"
Gamblezen Casino,logosask/GamblezenCasino.png,9.2,https://gamblezen.com/,https://gamblezen.com/,Curacao,Gamblezen Affiliates,"Crypto Casino, Instant Play, Live Casino, Mobile",tekst/Gamblezen Casino.txt,,,,"10,000+ games | Fast withdrawals | 24/7 live chat | Low withdrawal limits - per transaction | Withdrawals not processed 24/7",Low withdrawal limits - per transaction | Withdrawals not processed 24/7,Gamblezen Casino: 225% up to €500 + 110 Free Spins
Del Oro Casino,logosask/DelOroCasino.png,9.1,https://delorocasino.com/,https://delorocasino.com/,Anjouan,Big Time Partners,"Instant Play, Live Casino, Mobile, Crypto Casino, Sports",tekst/Del Oro Casino.txt,,,,24/7 live chat | Secure payment options | Quick withdrawals | Multiple country restrictions,Multiple country restrictions,"Del Oro Casino: 150% up to $1500, 1st Deposit Bonus"
Evobet Casino,logosask/EvobetCasino.png,9.1,https://www.evobet.com,https://www.evobet.com,Curacao,Campeon Affiliates,"Instant Play, Mobile, Sports, Live Casino, Crypto Casino",tekst/Evobet Casino.txt,,,,Excellent choice of payment methods | Excellent choice of games | Live chat | €100 minimum withdrawal | Poor selection of responsible gambling tools,€100 minimum withdrawal | Poor selection of responsible gambling tools,
Slots Gallery Casino,logosask/SlotsGalleryCasino.png,9.1,http://slotsgallery.com,http://slotsgallery.com,Curacao,Boho Affiliates,"Instant Play, Live Casino, Mobile, Sports, Crypto Casino",tekst/Slots Gallery Casino.txt,,,,Various offer of casino games | Live chat is open 24/7 | Number of payment methods available | Low withdrawal amount,Low withdrawal amount,"Slots Gallery Casino: 100% up to 5000 NOK + 100 Free Spins, Welcome Bonus"
